Date,Price,Open,High,Low,Vol.,Change
1/2/2019,"2,650.0","2,620.0","2,680.0","2,540.0",3.25M,0.19%
1/3/2019,"2,760.0","2,700.0","2,760.0","2,645.0",3.56M,4.15%
1/4/2019,"2,800.0","2,800.0","2,810.0","2,740.0",6.28M,1.45%
1/8/2019,"2,890.0","2,850.0","2,890.0","2,815.0",10.43M,3.21%
1/9/2019,"2,935.0","2,900.0","2,965.0","2,895.0",19.26M,1.56%
1/10/2019,"2,935.0","2,925.0","2,935.0","2,865.0",8.06M,0.00%
1/11/2019,"2,900.0","2,900.0","2,920.0","2,880.0",6.32M,-1.19%
1/14/2019,"2,910.0","2,865.0","2,910.0","2,850.0",6.62M,0.34%
1/15/2019,"2,930.0","2,910.0","2,950.0","2,890.0",7.24M,0.69%
1/16/2019,"2,930.0","2,905.0","2,945.0","2,905.0",4.36M,0.00%
1/17/2019,"2,910.0","2,910.0","2,920.0","2,880.0",8.33M,-0.68%
1/18/2019,"2,895.0","2,920.0","2,925.0","2,890.0",7.83M,-0.52%
1/21/2019,"2,900.0","2,895.0","2,930.0","2,880.0",1.05M,0.17%
1/22/2019,"2,900.0","2,895.0","2,900.0","2,845.0",12.16M,0.00%
1/23/2019,"2,825.0","2,900.0","2,900.0","2,825.0",12.43M,-2.59%
1/24/2019,"2,835.0","2,820.0","2,860.0","2,815.0",7.65M,0.35%
1/25/2019,"2,860.0","2,835.0","2,860.0","2,830.0",4.95M,0.88%
1/28/2019,"2,815.0","2,850.0","2,850.0","2,755.0",12.47M,-1.57%
1/29/2019,"2,850.0","2,835.0","2,870.0","2,835.0",3.96M,1.24%
1/30/2019,"2,915.0","2,850.0","2,925.0","2,845.0",9.86M,2.28%
1/31/2019,"2,920.0","2,920.0","2,970.0","2,905.0",19.47M,0.17%
2/1/2019,"2,935.0","2,920.0","2,935.0","2,895.0",8.74M,0.51%
2/4/2019,"2,920.0","2,910.0","2,920.0","2,870.0",7.60M,-0.51%
2/5/2019,"2,950.0","2,890.0","2,970.0","2,890.0",8.64M,1.03%
2/6/2019,"2,920.0","2,930.0","2,945.0","2,895.0",7.12M,-1.02%
2/7/2019,"2,865.0","2,910.0","2,910.0","2,865.0",6.10M,-1.88%
2/8/2019,"2,865.0","2,865.0","2,875.0","2,845.0",4.17M,0.00%
2/11/2019,"2,840.0","2,850.0","2,865.0","2,825.0",3.01M,-0.87%
2/12/2019,"2,925.0","2,885.0","2,930.0","2,885.0",9.39M,2.99%
2/13/2019,"2,955.0","2,940.0","2,970.0","2,940.0",8.95M,1.03%
2/14/2019,"2,965.0","2,950.0","2,985.0","2,935.0",11.80M,0.34%
2/15/2019,"3,055.0","2,985.0","3,055.0","2,985.0",15.36M,3.04%
2/18/2019,"3,065.0","3,020.0","3,095.0","3,020.0",4.18M,0.33%
2/19/2019,"3,050.0","3,060.0","3,060.0","3,035.0",12.12M,-0.49%
2/20/2019,"3,085.0","3,050.0","3,095.0","3,030.0",10.28M,1.15%
2/21/2019,"3,060.0","3,090.0","3,090.0","3,050.0",9.39M,-0.81%
2/22/2019,"3,080.0","3,070.0","3,105.0","3,060.0",7.31M,0.65%
2/25/2019,"3,145.0","3,060.0","3,150.0","3,045.0",9.49M,2.11%
2/26/2019,"3,195.0","3,140.0","3,240.0","3,140.0",11.23M,1.59%
2/27/2019,"3,230.0","3,250.0","3,280.0","3,200.0",16.57M,1.10%
2/28/2019,"3,120.0","3,220.0","3,250.0","3,110.0",17.52M,-3.41%
3/1/2019,"3,165.0","3,100.0","3,175.0","3,100.0",7.66M,1.44%
3/4/2019,"3,210.0","3,180.0","3,215.0","3,170.0",4.79M,1.42%
3/5/2019,"3,215.0","3,210.0","3,240.0","3,210.0",5.17M,0.16%
3/6/2019,"3,195.0","3,200.0","3,260.0","3,180.0",9.91M,-0.62%
3/7/2019,"3,175.0","3,205.0","3,205.0","3,165.0",6.36M,-0.63%
3/8/2019,"3,135.0","3,170.0","3,170.0","3,080.0",9.14M,-1.26%
3/11/2019,"3,200.0","3,150.0","3,215.0","3,145.0",5.74M,2.07%
3/12/2019,"3,230.0","3,220.0","3,250.0","3,200.0",5.37M,0.94%
3/13/2019,"3,330.0","3,240.0","3,340.0","3,240.0",14.28M,3.10%
3/14/2019,"3,320.0","3,345.0","3,380.0","3,300.0",9.33M,-0.30%
3/15/2019,"3,400.0","3,300.0","3,400.0","3,270.0",23.18M,2.41%
3/18/2019,"3,445.0","3,350.0","3,455.0","3,350.0",6.41M,1.32%
3/19/2019,"3,470.0","3,445.0","3,510.0","3,445.0",10.53M,0.73%
3/20/2019,"3,550.0","3,455.0","3,550.0","3,440.0",11.66M,2.31%
3/21/2019,"3,565.0","3,515.0","3,570.0","3,510.0",5.24M,0.42%
3/22/2019,"3,430.0","3,525.0","3,525.0","3,415.0",6.65M,-3.79%
3/26/2019,"3,470.0","3,460.0","3,525.0","3,450.0",9.35M,1.17%
3/27/2019,"3,370.0","3,500.0","3,510.0","3,370.0",13.99M,-2.88%
3/28/2019,"3,370.0","3,350.0","3,405.0","3,345.0",7.70M,0.00%
3/29/2019,"3,415.0","3,400.0","3,430.0","3,375.0",9.38M,1.34%
4/1/2019,"3,460.0","3,460.0","3,460.0","3,415.0",5.74M,1.32%
4/2/2019,"3,440.0","3,440.0","3,460.0","3,430.0",5.90M,-0.58%
4/3/2019,"3,410.0","3,450.0","3,465.0","3,410.0",16.27M,-0.87%
4/4/2019,"3,350.0","3,410.0","3,430.0","3,350.0",7.46M,-1.76%
4/5/2019,"3,360.0","3,360.0","3,400.0","3,350.0",7.11M,0.30%
4/8/2019,"3,425.0","3,370.0","3,425.0","3,350.0",10.51M,1.93%
4/9/2019,"3,380.0","3,415.0","3,415.0","3,355.0",8.50M,-1.31%
4/10/2019,"3,405.0","3,400.0","3,405.0","3,370.0",5.46M,0.74%
4/11/2019,"3,320.0","3,385.0","3,385.0","3,315.0",10.88M,-2.50%
4/12/2019,"3,275.0","3,340.0","3,350.0","3,260.0",10.88M,-1.36%
4/15/2019,"3,230.0","3,260.0","3,280.0","3,230.0",9.71M,-1.37%
4/16/2019,"3,295.0","3,235.0","3,295.0","3,220.0",5.08M,2.01%
4/17/2019,"3,030.0","3,180.0","3,180.0","3,030.0",5.91M,-8.04%
4/22/2019,"3,095.0","3,040.0","3,115.0","3,040.0",8.29M,2.15%
4/23/2019,"3,105.0","3,110.0","3,125.0","3,065.0",7.54M,0.32%
4/24/2019,"3,075.0","3,100.0","3,105.0","3,015.0",11.31M,-0.97%
4/25/2019,"3,075.0","3,075.0","3,080.0","3,055.0",8.95M,0.00%
4/26/2019,"3,005.0","3,050.0","3,060.0","3,000.0",11.40M,-2.28%
4/29/2019,"3,020.0","3,005.0","3,020.0","2,965.0",6.48M,0.50%
4/30/2019,"2,985.0","3,045.0","3,050.0","2,985.0",10.49M,-1.16%
5/2/2019,"2,945.0","2,975.0","2,975.0","2,880.0",6.16M,-1.34%
5/3/2019,"2,925.0","2,945.0","2,975.0","2,925.0",6.52M,-0.68%
5/6/2019,"2,915.0","2,900.0","2,925.0","2,880.0",11.35M,-0.34%
5/7/2019,"2,885.0","2,935.0","2,970.0","2,880.0",13.58M,-1.03%
5/8/2019,"2,970.0","2,885.0","2,980.0","2,885.0",8.80M,2.95%
5/9/2019,"3,040.0","2,950.0","3,055.0","2,945.0",10.77M,2.36%
5/10/2019,"3,070.0","3,015.0","3,075.0","2,985.0",10.81M,0.99%
5/13/2019,"3,020.0","3,050.0","3,100.0","3,015.0",10.42M,-1.63%
5/14/2019,"3,005.0","3,030.0","3,055.0","3,005.0",6.77M,-0.50%
5/15/2019,"3,030.0","3,005.0","3,045.0","2,985.0",6.30M,0.83%
5/16/2019,"3,075.0","3,045.0","3,120.0","3,030.0",10.89M,1.49%
5/17/2019,"3,070.0","3,060.0","3,120.0","3,060.0",10.52M,-0.16%
5/20/2019,"3,045.0","3,070.0","3,105.0","3,040.0",8.33M,-0.81%
5/21/2019,"3,095.0","3,045.0","3,095.0","3,045.0",2.18M,1.64%
5/22/2019,"3,040.0","3,050.0","3,095.0","3,040.0",10.37M,-1.78%
5/23/2019,"2,940.0","3,020.0","3,020.0","2,925.0",4.77M,-3.29%
5/24/2019,"3,000.0","2,955.0","3,010.0","2,945.0",9.38M,2.04%
5/27/2019,"2,950.0","2,960.0","2,980.0","2,900.0",2.39M,-1.67%
5/28/2019,"2,815.0","2,930.0","2,945.0","2,805.0",29.57M,-4.58%
5/29/2019,"2,870.0","2,810.0","2,870.0","2,740.0",7.06M,1.95%
5/30/2019,"2,810.0","2,875.0","2,885.0","2,800.0",7.23M,-2.09%
5/31/2019,"2,765.0","2,770.0","2,810.0","2,745.0",5.93M,-1.60%
6/4/2019,"2,820.0","2,785.0","2,835.0","2,785.0",6.76M,1.99%
6/5/2019,"2,755.0","2,815.0","2,815.0","2,740.0",6.67M,-2.30%
6/6/2019,"2,770.0","2,755.0","2,795.0","2,750.0",4.01M,0.54%
6/7/2019,"2,875.0","2,780.0","2,875.0","2,775.0",8.13M,3.79%
6/10/2019,"2,815.0","2,870.0","2,890.0","2,815.0",8.68M,-2.09%
6/11/2019,"2,800.0","2,845.0","2,855.0","2,800.0",5.40M,-0.53%
6/12/2019,"2,725.0","2,770.0","2,780.0","2,725.0",6.11M,-2.68%
6/13/2019,"2,765.0","2,790.0","2,790.0","2,745.0",5.58M,1.47%
6/14/2019,"2,790.0","2,750.0","2,790.0","2,745.0",5.16M,0.90%
6/17/2019,"2,820.0","2,775.0","2,820.0","2,775.0",4.61M,1.08%
6/18/2019,"2,870.0","2,830.0","2,885.0","2,830.0",7.45M,1.77%
6/19/2019,"2,930.0","2,855.0","2,950.0","2,855.0",12.20M,2.09%
6/20/2019,"2,980.0","2,930.0","3,030.0","2,930.0",16.39M,1.71%
6/21/2019,"3,020.0","3,000.0","3,020.0","2,975.0",21.76M,1.34%
6/25/2019,"2,985.0","3,000.0","3,030.0","2,970.0",4.16M,-1.16%
6/26/2019,"2,985.0","3,020.0","3,030.0","2,985.0",3.61M,0.00%
6/27/2019,"2,945.0","2,970.0","3,000.0","2,945.0",2.08M,-1.34%
6/28/2019,"2,920.0","2,945.0","2,955.0","2,920.0",4.34M,-0.85%
7/2/2019,"2,925.0","2,920.0","2,965.0","2,895.0",5.02M,0.17%
7/3/2019,"3,010.0","2,925.0","3,010.0","2,920.0",6.36M,2.91%
7/4/2019,"3,010.0","3,000.0","3,010.0","2,995.0",533.29K,0.00%
7/5/2019,"3,020.0","3,005.0","3,020.0","2,970.0",5.86M,0.33%
7/8/2019,"3,015.0","3,015.0","3,025.0","3,000.0",3.10M,-0.17%
7/9/2019,"3,020.0","3,010.0","3,020.0","2,975.0",3.78M,0.17%
7/10/2019,"3,090.0","3,030.0","3,090.0","3,030.0",11.03M,2.32%
7/11/2019,"3,070.0","3,090.0","3,110.0","3,060.0",9.53M,-0.65%
7/12/2019,"3,070.0","3,060.0","3,075.0","3,040.0",4.34M,0.00%
7/15/2019,"3,035.0","3,065.0","3,080.0","3,030.0",7.98M,-1.14%
7/16/2019,"3,025.0","3,035.0","3,060.0","3,020.0",12.96M,-0.33%
7/17/2019,"3,000.0","3,060.0","3,060.0","2,995.0",8.68M,-0.83%
7/18/2019,"2,965.0","3,005.0","3,020.0","2,935.0",11.48M,-1.17%
7/19/2019,"3,010.0","2,965.0","3,010.0","2,960.0",5.95M,1.52%
7/22/2019,"3,030.0","3,010.0","3,045.0","3,010.0",9.66M,0.66%
7/23/2019,"3,015.0","3,015.0","3,030.0","2,995.0",8.42M,-0.50%
7/24/2019,"3,000.0","3,010.0","3,030.0","2,995.0",5.06M,-0.50%
7/25/2019,"3,000.0","2,990.0","3,015.0","2,980.0",14.66M,0.00%
7/26/2019,"2,980.0","3,000.0","3,010.0","2,980.0",5.60M,-0.67%
7/29/2019,"2,980.0","2,975.0","2,985.0","2,950.0",7.56M,0.00%
7/30/2019,"2,965.0","2,995.0","2,995.0","2,960.0",6.44M,-0.50%
7/31/2019,"2,940.0","2,985.0","2,990.0","2,940.0",13.54M,-0.84%
